School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,School Type [Public School] 2019-20,Charter School [Public School] 2019-20,Magnet School [Public School] 2019-20,Shared Time School [Public School] 2019-20,Urban-centric Locale [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2019-20,Full-Time Equivalent (FTE) Teachers [Public School] 2019-20,Pupil/Teacher Ratio [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20,School Level (SY 2017-18 onward) [Public School] 2019-20
1 LT CHARLES W. WHITCOMB SCHOOL,Massachusetts,MA ,2.50732E+11,Marlborough,1-Regular school,2-No,2-No,2-No,21-Suburb: Large,1478,121.18,12.2,5th Grade,8th Grade,Middle
10TH STREET SCHOOL,Washington,WA ,5.30486E+11,Marysville School District,1-Regular school,2-No,2-No,–,22-Suburb: Mid-size,178,7.5,23.73,6th Grade,8th Grade,Middle
112 ALC INDEPENDENT STUDY,Minnesota,MN ,2.70819E+11,EASTERN CARVER COUNTY PUBLIC SCHOOL,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,39,0.00,†,9th Grade,12th Grade,High
112 ALC MIDDLE SCHOOL,Minnesota,MN ,2.70819E+11,EASTERN CARVER COUNTY PUBLIC SCHOOL,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,404,4.7,85.96,6th Grade,8th Grade,Middle
112 ALC SEAT-BASED,MINNESOTA,MN ,2.70819E+11,EASTERN CARVER COUNTY PUBLIC SCHOOL,4-Alternative/other school,2-No,2-No,1-Yes,21-Suburb: Large,0,–,†,6th Grade,12th Grade,High
113-H-W-4,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
12TH STREET ELEMENTARY,Michigan,MI ,2.62895E+11,Portage Public Schools,1-Regular school,2-No,2-No,2-No,13-City: Small,582,31.45,18.51,Prekindergarten,5th Grade,Elementary
132-M-W-4,FLORIDA,FL ,1.20144E+11,ORANGE,1-Regular school,2-No,†,†,11-City: Large,†,†,†,–,–,Not Reported
14# AVENUE EARLY LEARNING CENTER,NEW JERSEY,NJ ,3.41269E+11,Paterson Public School District,1-Regular school,2-No,†,2-No,21-Suburb: Large,93,–,†,Prekindergarten,Prekindergarten,Prekindergarten
18+ PROGRAM,NEBRASKA,NE ,3.18009E+11,EDUCATIONAL SERVICE UNIT 09,2-Special education school,†,†,2-No,32-Town: Distant,0,1,0.00,†,†,Not Applicable
1R ELEMENTARY,Nebraska,NE ,3.17458E+11,NORTHWEST PUBLIC SCHOOLS,1-Regular school,†,†,2-No,41-Rural: Fringe,185,12.64,14.64,Prekindergarten,8th Grade,Elementary
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1.80005E+11,21st Century Charter Sch of Gary,1-Regular school,1-Yes,2-No,2-No,13-City: Small,1190,47,25.32,Kindergarten,12th Grade,Other
21ST CENTURY CYBER CS,Pennsylvania,PA ,4.20009E+11,21st Century Cyber CS,1-Regular school,1-Yes,2-No,2-No,21-Suburb: Large,1270,64.99,19.54,6th Grade,12th Grade,High
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,TX ,4.84496E+11,WESLACO ISD,1-Regular school,2-No,2-No,–,21-Suburb: Large,522,15,34.8,Prekindergarten,Prekindergarten,Prekindergarten
21ST CENTURY ESCHOOL,Wisconsin,WI ,5.50951E+11,Middleton-Cross Plains Area School District,1-Regular school,1-Yes,2-No,2-No,21-Suburb: Large,4,1,4,Kindergarten,12th Grade,Other
21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,Kansas,KS ,2.00672E+11,Kiowa County,1-Regular school,2-No,2-No,–,43-Rural: Remote,184,3.4,54.12,6th Grade,12th Grade,High
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,CA ,060429013779,Beaumont Unified,4-Alternative/other school,2-No,2-No,–,21-Suburb: Large,96,–,†,Kindergarten,12th Grade,Other
21ST CENTURY PREPARATORY SCHOOL,Wisconsin,WI ,5.50005E+11,21st Century Preparatory School Agency,1-Regular school,1-Yes,2-No,2-No,13-City: Small,551,29.07,18.95,Prekindergarten,8th Grade,Elementary
